fdc_id,description,Energy,gram_weight,Biotin,"Boron, B","Calcium, Ca","Carbohydrate, Total",Cholesterol,"Choline, total","Cobalt, Co","Copper, Cu","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total","Iodine, I","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,"Nickel, Ni",Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Starch,"Sugars, Total","Sulfur, S",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E,Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),"Zinc, Zn"
2346409,"Strawberries, raw",36.4,100.0,0.19,0.0,16.9,7.964375,0.0,0.0,0.0,0.03471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,12.52,0.3675,0.0,0.0,0.0,0.0,22.98,160.7,0.640625,0.0,0.0,0.0,0.0,4.862,0.0,0.0,0.22,0.0,0.0,0.0,59.62,0.0,0.0,0.0,0.0,0.0,0.114
2346410,"Raspberries, raw",57.3375,100.0,3.433,0.0,16.41,12.904375,0.0,0.0,0.0,0.05289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4501,19.15,0.4935,0.0,0.0,0.0,0.0,27.47,155.8,1.008125,0.0,0.0,0.0,0.0,2.6759,0.0,0.0,0.1875,0.0,0.0,0.0,23.04,0.0,0.0,0.0,0.0,0.0,0.2213
2346411,"Blueberries, raw",63.8563,100.0,0.3,0.0,11.69,14.571775,0.0,0.0,0.0,0.04605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3398,6.179,0.4228,0.0,0.0,0.0,0.0,12.96,85.64,0.703125,0.0,0.0,0.0,0.0,9.356,0.0,0.0,0.3063,0.0,0.0,0.0,8.059,0.0,0.0,0.0,0.0,0.0,0.08534
2346412,"Grapes, red, seedless, raw",85.919,100.0,0.1222,0.0,10.17,20.196825,0.0,0.0,0.0,0.08081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1615,8.556,0.09758,0.0,0.0,0.0,0.0,24.86,229.4,0.914375,0.0,0.0,6.999,0.0,17.341,0.0,0.0,0.1638,0.0,0.0,0.0,3.308,0.0,0.0,0.0,0.0,0.0,0.03603
2346413,"Grapes, green, seedless, raw",80.1025,100.0,0.1111,0.0,9.897,18.60375,0.0,0.0,0.0,0.06091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1991,7.118,0.08365,0.0,0.0,0.0,0.0,21.98,218.1,0.89875,0.0,0.0,3.171,0.0,16.133,0.0,0.0,0.2325,0.0,0.0,0.0,3.017,0.0,0.0,0.0,0.0,0.0,0.02674
2346414,"Applesauce, unsweetened, with added vitamin C",51.6025,100.0,0.0,0.0,3.821,12.2615625,0.0,0.0,0.0,0.03905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04475,3.938,0.0368,0.0,0.0,0.0,0.0,9.119,107.7,0.2734375,0.0,0.0,0.5038,0.0,9.663,0.0,0.0,0.1625,0.0,0.0,0.0,43.69,0.0,0.0,0.0,0.0,0.0,0.002625
2512371,"Flour, amaranth",384.076,100.0,25.36,0.0,135.2,68.7787,0.0,0.0,0.0,0.5179,0.0,0.0,0.0,0.0,0.0,0.0,9.036,0.0,0.0,7.56,232.7,2.305,35.09,0.7475,0.0,0.0,424.9,395.8,13.2093,0.175,21.1,0.0,55.69,0.0,0.0,0.05875,6.236,0.0,0.0,0.3873,0.0,0.0,0.0,0.0,0.0,0.0,3.001
2512372,"Flour, quinoa",385.197,100.0,26.25,0.0,37.56,69.52465,0.0,0.0,0.0,0.4819,0.0,0.0,0.0,0.0,0.0,0.0,6.953,0.0,0.0,4.528,163.8,2.015,17.55,1.211,0.0,0.0,369.3,550.9,11.92235,0.3163,4.1,6.321,58.09,0.0,0.0,0.345,6.601,0.0,0.0,0.2224,0.0,0.0,0.0,0.0,0.0,0.0,2.77
2512373,"Flour, sorghum",374.93,100.0,24.23,0.0,11.41,77.39123,0.0,0.0,0.0,0.2368,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.0,0.0,3.721,116.4,1.078,48.16,3.953,0.0,0.0,261.9,335.1,8.27277,0.15,12.4,0.0,66.27,0.0,0.0,0.27,3.586,0.0,0.0,0.1656,0.0,0.0,0.0,0.0,0.0,0.0,1.66
2512374,"Flour, buckwheat",357.968,100.0,15.09,0.0,30.55,75.01808,0.0,0.0,0.0,0.5299,0.0,0.0,0.0,0.0,0.0,0.0,11.38,0.0,0.0,3.84,167.4,1.544,44.55,3.839,0.0,0.0,281.9,378.1,8.88492,0.16,15.7,0.0,59.0,0.0,0.0,0.2413,2.484,0.0,0.0,0.1699,0.0,0.0,0.0,0.0,0.0,0.0,1.755
